x y z
-0.765 -0.102 0.321
-0.765 0.102 0.349
-0.765 0.306 0.376
-0.765 0.510 0.403
-0.765 0.714 0.428
-0.765 0.918 0.451
-0.765 1.122 0.470
-0.765 1.327 0.484
-0.765 1.531 0.492
-0.765 1.735 0.491
-0.765 1.939 0.497
-0.765 2.143 0.541
-0.765 2.347 0.577
-0.765 2.551 0.590
-0.765 2.755 0.583
-0.765 2.959 0.559
-0.765 3.163 0.523
-0.765 3.367 0.478
-0.765 3.571 0.428
-0.765 3.776 0.373
-0.765 3.980 0.315
-0.765 4.184 0.254
-0.765 4.388 0.190
-0.765 4.592 0.125
-0.765 4.796 0.057
-0.765 5.000 0.007
-0.663 -5.000 0.965
-0.663 -4.796 0.892
-0.663 -4.592 0.815
-0.663 -4.388 0.734
-0.663 -4.184 0.653
-0.663 -3.980 0.572
-0.663 -3.776 0.493
-0.663 -3.571 0.414
-0.663 -3.367 0.336
-0.663 -3.163 0.259
-0.663 -2.959 0.183
-0.663 -2.755 0.108
-0.663 -2.551 0.034
-0.663 -2.347 0.017
-0.663 -2.143 0.049
-0.663 -1.939 0.080
-0.663 -1.735 0.111
-0.663 -1.531 0.141
-0.663 -1.327 0.171
-0.663 -1.122 0.201
-0.663 -0.918 0.230
-0.663 -0.714 0.260
-0.663 -0.510 0.288
-0.663 -0.306 0.317
-0.663 -0.102 0.345
-0.663 0.102 0.373
-0.663 0.306 0.400
-0.663 0.510 0.426
-0.663 0.714 0.451
-0.663 0.918 0.472
-0.663 1.122 0.490
-0.663 1.327 0.502
-0.663 1.531 0.506
-0.663 1.735 0.503
-0.663 1.939 0.546
-0.663 2.143 0.596
-0.663 2.347 0.623
-0.663 2.551 0.624
-0.663 2.755 0.605
-0.663 2.959 0.571
-0.663 3.163 0.529
-0.663 3.367 0.479
-0.663 3.571 0.425
-0.663 3.776 0.367
-0.663 3.980 0.306
-0.663 4.184 0.243
-0.663 4.388 0.178
-0.663 4.592 0.111
-0.663 4.796 0.042
-0.663 5.000 0.016
-0.561 -5.000 0.893
-0.561 -4.796 0.817
-0.561 -4.592 0.736
-0.561 -4.388 0.656
-0.561 -4.184 0.576
-0.561 -3.980 0.497
-0.561 -3.776 0.419
-0.561 -3.571 0.341
-0.561 -3.367 0.265
-0.561 -3.163 0.189
-0.561 -2.959 0.115
-0.561 -2.755 0.041
-0.561 -2.551 0.014
-0.561 -2.347 0.046
-0.561 -2.143 0.077
-0.561 -1.939 0.108
-0.561 -1.735 0.139
-0.561 -1.531 0.169
-0.561 -1.327 0.198
-0.561 -1.122 0.228
-0.561 -0.918 0.257
-0.561 -0.714 0.286
-0.561 -0.510 0.314
-0.561 -0.306 0.342
-0.561 -0.102 0.370
-0.561 0.102 0.398
-0.561 0.306 0.424
-0.561 0.510 0.450
-0.561 0.714 0.473
-0.561 0.918 0.494
-0.561 1.122 0.509
-0.561 1.327 0.518
-0.561 1.531 0.517
-0.561 1.735 0.545
-0.561 1.939 0.611
-0.561 2.143 0.652
-0.561 2.347 0.662
-0.561 2.551 0.648
-0.561 2.755 0.618
-0.561 2.959 0.577
-0.561 3.163 0.528
-0.561 3.367 0.475
-0.561 3.571 0.417
-0.561 3.776 0.356
-0.561 3.980 0.293
-0.561 4.184 0.228
-0.561 4.388 0.161
-0.561 4.592 0.093
-0.561 4.796 0.022
-0.561 5.000 0.027
-0.459 -5.000 0.817
-0.459 -4.796 0.737
-0.459 -4.592 0.658
-0.459 -4.388 0.579
-0.459 -4.184 0.500
-0.459 -3.980 0.422
-0.459 -3.776 0.346
-0.459 -3.571 0.269
-0.459 -3.367 0.194
-0.459 -3.163 0.120
-0.459 -2.959 0.047
-0.459 -2.755 0.011
-0.459 -2.551 0.043
-0.459 -2.347 0.074
-0.459 -2.143 0.105
-0.459 -1.939 0.136
-0.459 -1.735 0.166
-0.459 -1.531 0.196
-0.459 -1.327 0.225
-0.459 -1.122 0.254
-0.459 -0.918 0.283
-0.459 -0.714 0.312
-0.459 -0.510 0.340
-0.459 -0.306 0.368
-0.459 -0.102 0.395
-0.459 0.102 0.422
-0.459 0.306 0.449
-0.459 0.510 0.474
-0.459 0.714 0.496
-0.459 0.918 0.515
-0.459 1.122 0.527
-0.459 1.327 0.531
-0.459 1.531 0.543
-0.459 1.735 0.620
